iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
AFG,Asia,Afghanistan,2021-08-19,152411.0,48.0,121.143,7047.0,4.0,8.429,3915.168,1.233,3.112,181.025,0.103,0.217,0.59,,,,,,,,,,,,,,,,,,1809517.0,770302.0,,,,35057.0,4.65,1.98,,,901.0,52.31,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,
OWID_AFR,,Africa,2021-08-19,7412801.0,39383.0,35496.0,187173.0,752.0,873.714,5529.473,29.377,26.478,139.619,0.561,0.652,,,,,,,,,,,,,,,,,,,87424312.0,59384819.0,30810285.0,,1440040.0,1144843.0,6.52,4.43,2.3,,854.0,,1340598113.0,,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-08-19,137597.0,522.0,405.143,2473.0,2.0,1.857,47813.26,181.389,140.782,859.337,0.695,0.645,1.92,,,,,,,,,,,,,,,,,,1340339.0,764997.0,575342.0,,9585.0,8586.0,46.58,26.58,19.99,,2984.0,37.96,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,
DZA,Africa,Algeria,2021-08-19,190078.0,694.0,719.429,4929.0,31.0,33.429,4334.629,15.826,16.406,112.403,0.707,0.762,0.73,40.0,0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,43851043.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,
AND,Europe,Andorra,2021-08-19,14981.0,5.0,10.429,129.0,0.0,0.0,193891.154,64.712,134.971,1669.579,0.0,0.0,0.82,,,,,,,,,,206208.0,2668.841,,210.0,2.718,0.061,16.5,people tested,91660.0,51044.0,40616.0,,,381.0,118.63,66.06,52.57,,4931.0,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,
AGO,Africa,Angola,2021-08-19,45325.0,150.0,164.429,1133.0,8.0,9.0,1379.074,4.564,5.003,34.473,0.243,0.274,1.08,,,,,,,,,,,,,,,,,,1727488.0,1000191.0,727297.0,,,4557.0,5.26,3.04,2.21,,139.0,,32866268.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,
AIA,North America,Anguilla,2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18457.0,9492.0,8965.0,,,38.0,123.03,63.27,59.76,,2533.0,,15002.0,,,,,,,,,,,,,81.88,,
ATG,North America,Antigua and Barbuda,2021-08-19,1421.0,0.0,7.0,43.0,0.0,0.0,14510.661,0.0,71.481,439.098,0.0,0.0,1.17,,,,,,,,,,,,,,,,,,71434.0,39186.0,32248.0,,,208.0,72.95,40.02,32.93,,2124.0,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,
ARG,South America,Argentina,2021-08-19,5116803.0,10596.0,7221.429,109841.0,189.0,181.714,113214.184,234.447,159.781,2430.338,4.182,4.021,0.75,,,,,,,,,38213.0,12652709.0,279.953,0.845,34141.0,0.755,0.098,10.2,tests performed,37234519.0,26784800.0,10449719.0,,292587.0,247055.0,82.38,59.26,23.12,,5466.0,75.93,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
ARM,Asia,Armenia,2021-08-19,236234.0,559.0,404.857,4727.0,11.0,8.286,79721.682,188.645,136.627,1595.217,3.712,2.796,1.26,,,,,,,,,6447.0,1415538.0,477.7,2.176,6162.0,2.079,0.048,20.8,tests performed,220236.0,144573.0,75663.0,,,3619.0,7.43,4.88,2.55,,1221.0,,2963234.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,
ABW,North America,Aruba,2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143030.0,74788.0,68242.0,,424.0,304.0,133.97,70.05,63.92,,2847.0,,106766.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,
OWID_ASI,,Asia,2021-08-19,67068333.0,268213.0,264789.857,987414.0,4864.0,4584.143,14454.857,57.806,57.069,212.812,1.048,0.988,,,,,,,,,,,,,,,,,,,3171004575.0,1506734560.0,1154432275.0,9273844.0,26503042.0,25874539.0,68.34,32.47,24.88,0.2,5577.0,,4639847425.0,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2021-08-19,42228.0,707.0,580.429,976.0,4.0,3.857,1656.008,27.726,22.762,38.275,0.157,0.151,1.43,,,,,,,,,243020.0,28177587.0,1105.009,9.53,203730.0,7.989,0.002,464.5,tests performed,15892260.0,10264706.0,5627554.0,,273869.0,239750.0,62.32,40.25,22.07,,9402.0,68.06,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUT,Europe,Austria,2021-08-19,672819.0,1226.0,990.571,10760.0,3.0,1.0,74704.543,136.125,109.985,1194.706,0.333,0.111,1.38,58.0,6.44,182.0,20.208,,,,,395705.0,71577449.0,7947.398,43.936,327749.0,36.391,0.002,406.1,tests performed,10245849.0,5412659.0,5061419.0,,24307.0,21245.0,113.76,60.1,56.2,,2359.0,56.02,9006400.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,
