column,source,category,description
iso_code,International Organization for Standardization,Others,ISO 3166-1 alpha-3 – three-letter country codes
continent,Our World in Data,Others,Continent of the geographical location
location,Our World in Data,Others,Geographical location
date,Our World in Data,Others,Date of observation
total_cases,COVID-19 Data Repository by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University,Confirmed cases,Total confirmed cases of COVID-19
total_deaths,COVID-19 Data Repository by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University,Confirmed deaths,Total deaths attributed to COVID-19
total_cases_per_million,COVID-19 Data Repository by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University,Confirmed cases,"Total confirmed cases of COVID-19 per 1,000,000 people"
total_deaths_per_million,COVID-19 Data Repository by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University,Confirmed deaths,"Total deaths attributed to COVID-19 per 1,000,000 people"
total_vaccinations,National government reports,Vaccinations,Total number of COVID-19 vaccination doses administered
people_vaccinated,National government reports,Vaccinations,Total number of people who received at least one vaccine dose
total_vaccinations_per_hundred,National government reports,Vaccinations,Total number of COVID-19 vaccination doses administered per 100 people in the total population
people_vaccinated_per_hundred,National government reports,Vaccinations,Total number of people who received at least one vaccine dose per 100 people in the total population
people_fully_vaccinated_per_hundred,National government reports,Vaccinations,Total number of people who received all doses prescribed by the vaccination protocol per 100 people in the total population
population,"United Nations, Department of Economic and Social Affairs, Population Division, World Population Prospects 2019 Revision",Others,Population in 2020
population_density,"World Bank World Development Indicators, sourced from Food and Agriculture Organization and World Bank estimates",Others,"Number of people divided by land area, measured in square kilometers, most recent year available"
cardiovasc_death_rate,"Global Burden of Disease Collaborative Network, Global Burden of Disease Study 2017 Results",Others,"Death rate from cardiovascular disease in 2017 (annual number of deaths per 100,000 people)"
life_expectancy,"James C. Riley, Clio Infra, United Nations Population Division",Others,Life expectancy at birth in 2019
human_development_index,United Nations Development Programme (UNDP),Others,"A composite index measuring average achievement in three basic dimensions of human development—a long and healthy life, knowledge and a decent standard of living. Values for 2019, imported from http://hdr.undp.org/en/indicators/137506"
