date,people_vaccinated,people_fully_vaccinated,total_vaccinations,location,source_url,vaccine,total_boosters
2020-12-27,6170,,6170,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2020-12-28,7814,,7814,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2020-12-29,9133,,9133,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2020-12-30,9539,,9539,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2020-12-31,11387,,11387,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-01,11538,,11538,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-02,11942,,11942,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-03,12494,,12494,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-04,13580,,13580,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-05,16037,,16037,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-06,21396,,21396,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-07,26867,,26867,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-08,30097,1,30098,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-09,30351,1,30352,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-10,30352,1,30353,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-11,30830,1,30831,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-12,32699,1,32700,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-13,37410,2,37412,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-14,44134,3,44137,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-15,48902,150,49052,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-16,49225,150,49375,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-17,49229,150,49379,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-18,49291,315,49606,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-19,49837,1949,51786,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
2021-01-20,51023,5662,56685,Slovenia,https://covid-19.sledilnik.org/en/stats,"Oxford/AstraZeneca, Pfizer/BioNTech",
