location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Ireland,2021-01-08,18,24,0.66,0.0
Ireland,2021-01-08,25,49,1.78,0.0
Ireland,2021-01-08,50,59,1.82,0.0
Ireland,2021-01-08,60,69,0.89,0.0
Ireland,2021-01-08,70,79,0.12,0.0
Ireland,2021-01-08,80,,0.47,0.0
Ireland,2021-01-15,18,24,1.23,0.0
Ireland,2021-01-15,25,49,3.06,0.0
Ireland,2021-01-15,50,59,3.51,0.0
Ireland,2021-01-15,60,69,2.02,0.0
Ireland,2021-01-15,70,79,0.8,0.0
Ireland,2021-01-15,80,,3.84,0.0
Ireland,2021-01-22,18,24,1.72,0.04
Ireland,2021-01-22,25,49,4.03,0.14
Ireland,2021-01-22,50,59,4.81,0.13
Ireland,2021-01-22,60,69,3.07,0.05
Ireland,2021-01-22,70,79,1.93,0.0
Ireland,2021-01-22,80,,10.03,0.01
Ireland,2021-01-29,18,24,1.81,0.65
Ireland,2021-01-29,25,49,4.22,1.76
Ireland,2021-01-29,50,59,5.02,1.81
Ireland,2021-01-29,60,69,3.34,0.89
Ireland,2021-01-29,70,79,2.21,0.12
Ireland,2021-01-29,80,,10.23,0.41
Ireland,2021-02-05,18,24,1.96,1.18
Ireland,2021-02-05,25,49,4.5,2.95
Ireland,2021-02-05,50,59,5.33,3.36
Ireland,2021-02-05,60,69,3.53,1.91
Ireland,2021-02-05,70,79,2.27,0.7
Ireland,2021-02-05,80,,10.42,3.38
Ireland,2021-02-12,18,24,2.31,1.22
Ireland,2021-02-12,25,49,5.27,3.12
Ireland,2021-02-12,50,59,6.37,3.54
Ireland,2021-02-12,60,69,4.27,2.01
Ireland,2021-02-12,70,79,2.74,0.74
Ireland,2021-02-12,80,,11.63,3.43
Ireland,2021-02-19,18,24,2.89,1.7
Ireland,2021-02-19,25,49,6.03,4.05
Ireland,2021-02-19,50,59,7.32,4.78
Ireland,2021-02-19,60,69,4.89,3.02
Ireland,2021-02-19,70,79,3.01,1.76
Ireland,2021-02-19,80,,21.08,9.0
Ireland,2021-02-26,18,24,3.69,1.82
Ireland,2021-02-26,25,49,7.18,4.27
Ireland,2021-02-26,50,59,8.78,5.06
Ireland,2021-02-26,60,69,5.93,3.34
Ireland,2021-02-26,70,79,4.3,2.07
Ireland,2021-02-26,80,,43.24,9.4
Ireland,2021-03-05,18,24,4.29,1.94
Ireland,2021-03-05,25,49,8.07,4.5
Ireland,2021-03-05,50,59,9.9,5.34
Ireland,2021-03-05,60,69,6.89,3.51
Ireland,2021-03-05,70,79,7.35,2.17
Ireland,2021-03-05,80,,66.16,9.73
Ireland,2021-03-12,18,24,5.03,2.04
Ireland,2021-03-12,25,49,9.09,4.73
Ireland,2021-03-12,50,59,11.24,5.68
Ireland,2021-03-12,60,69,8.06,3.84
Ireland,2021-03-12,70,79,10.41,2.64
Ireland,2021-03-12,80,,85.51,11.12
Ireland,2021-03-19,18,24,5.15,2.1
Ireland,2021-03-19,25,49,9.2,4.84
Ireland,2021-03-19,50,59,11.41,5.84
Ireland,2021-03-19,60,69,8.37,4.0
Ireland,2021-03-19,70,79,16.5,2.93
Ireland,2021-03-19,80,,97.96,20.4
Ireland,2021-03-26,18,24,5.95,2.15
Ireland,2021-03-26,25,49,10.23,4.92
Ireland,2021-03-26,50,59,12.96,5.97
Ireland,2021-03-26,60,69,10.19,4.23
Ireland,2021-03-26,70,79,29.44,4.15
Ireland,2021-03-26,80,,101.31,42.03
Ireland,2021-04-02,18,24,6.79,2.18
Ireland,2021-04-02,25,49,11.16,4.97
Ireland,2021-04-02,50,59,14.36,6.05
Ireland,2021-04-02,60,69,12.18,4.45
Ireland,2021-04-02,70,79,43.65,7.19
Ireland,2021-04-02,80,,103.34,64.76
Ireland,2021-04-09,18,24,7.43,2.2
Ireland,2021-04-09,25,49,11.92,5.01
Ireland,2021-04-09,50,59,15.77,6.11
Ireland,2021-04-09,60,69,14.46,4.59
Ireland,2021-04-09,70,79,59.32,10.07
Ireland,2021-04-09,80,,104.16,83.27
Ireland,2021-04-16,18,24,7.58,2.23
Ireland,2021-04-16,25,49,12.25,5.04
Ireland,2021-04-16,50,59,16.62,6.16
