location,date,vaccine,total_vaccinations
Belgium,2021-01-08,Johnson&Johnson,0
Belgium,2021-01-08,Moderna,0
Belgium,2021-01-08,Oxford/AstraZeneca,0
Belgium,2021-01-08,Pfizer/BioNTech,27935
Belgium,2021-01-15,Johnson&Johnson,0
Belgium,2021-01-15,Moderna,31
Belgium,2021-01-15,Oxford/AstraZeneca,0
Belgium,2021-01-15,Pfizer/BioNTech,126598
Belgium,2021-01-22,Johnson&Johnson,0
Belgium,2021-01-22,Moderna,4483
Belgium,2021-01-22,Oxford/AstraZeneca,0
Belgium,2021-01-22,Pfizer/BioNTech,244194
Belgium,2021-01-29,Johnson&Johnson,0
Belgium,2021-01-29,Moderna,6170
Belgium,2021-01-29,Oxford/AstraZeneca,0
Belgium,2021-01-29,Pfizer/BioNTech,333707
Belgium,2021-02-05,Johnson&Johnson,0
Belgium,2021-02-05,Moderna,15880
Belgium,2021-02-05,Oxford/AstraZeneca,0
Belgium,2021-02-05,Pfizer/BioNTech,462487
Belgium,2021-02-12,Johnson&Johnson,0
Belgium,2021-02-12,Moderna,25424
Belgium,2021-02-12,Oxford/AstraZeneca,344
Belgium,2021-02-12,Pfizer/BioNTech,597744
Belgium,2021-02-19,Johnson&Johnson,0
Belgium,2021-02-19,Moderna,30203
Belgium,2021-02-19,Oxford/AstraZeneca,10687
Belgium,2021-02-19,Pfizer/BioNTech,698198
Belgium,2021-02-26,Johnson&Johnson,0
Belgium,2021-02-26,Moderna,32651
Belgium,2021-02-26,Oxford/AstraZeneca,45147
Belgium,2021-02-26,Pfizer/BioNTech,786571
Belgium,2021-03-05,Johnson&Johnson,0
Belgium,2021-03-05,Moderna,51416
Belgium,2021-03-05,Oxford/AstraZeneca,109777
Belgium,2021-03-05,Pfizer/BioNTech,875290
Belgium,2021-03-12,Johnson&Johnson,0
Belgium,2021-03-12,Moderna,67275
Belgium,2021-03-12,Oxford/AstraZeneca,190742
Belgium,2021-03-12,Pfizer/BioNTech,971442
Belgium,2021-03-19,Johnson&Johnson,0
Belgium,2021-03-19,Moderna,89695
Belgium,2021-03-19,Oxford/AstraZeneca,350362
Belgium,2021-03-19,Pfizer/BioNTech,1081599
Belgium,2021-03-26,Johnson&Johnson,0
Belgium,2021-03-26,Moderna,99970
Belgium,2021-03-26,Oxford/AstraZeneca,460866
Belgium,2021-03-26,Pfizer/BioNTech,1277843
Belgium,2021-04-02,Johnson&Johnson,0
Belgium,2021-04-02,Moderna,127705
Belgium,2021-04-02,Oxford/AstraZeneca,520740
Belgium,2021-04-02,Pfizer/BioNTech,1536163
Belgium,2021-04-09,Johnson&Johnson,0
Belgium,2021-04-09,Moderna,174826
Belgium,2021-04-09,Oxford/AstraZeneca,600350
Belgium,2021-04-09,Pfizer/BioNTech,1853943
Belgium,2021-04-16,Johnson&Johnson,0
Belgium,2021-04-16,Moderna,209317
Belgium,2021-04-16,Oxford/AstraZeneca,781123
Belgium,2021-04-16,Pfizer/BioNTech,2131012
Belgium,2021-04-23,Johnson&Johnson,0
Belgium,2021-04-23,Moderna,260574
Belgium,2021-04-23,Oxford/AstraZeneca,837947
Belgium,2021-04-23,Pfizer/BioNTech,2447745
Belgium,2021-04-30,Johnson&Johnson,2967
Belgium,2021-04-30,Moderna,287549
Belgium,2021-04-30,Oxford/AstraZeneca,903322
Belgium,2021-04-30,Pfizer/BioNTech,2803247
Belgium,2021-05-07,Johnson&Johnson,23788
Belgium,2021-05-07,Moderna,345277
Belgium,2021-05-07,Oxford/AstraZeneca,1005918
Belgium,2021-05-07,Pfizer/BioNTech,3354917
Belgium,2021-05-14,Johnson&Johnson,29457
Belgium,2021-05-14,Moderna,399683
Belgium,2021-05-14,Oxford/AstraZeneca,1098798
Belgium,2021-05-14,Pfizer/BioNTech,3806090
Belgium,2021-05-21,Johnson&Johnson,49809
Belgium,2021-05-21,Moderna,501385
Belgium,2021-05-21,Oxford/AstraZeneca,1365514
Belgium,2021-05-21,Pfizer/BioNTech,4174741
Belgium,2021-05-28,Johnson&Johnson,73476
Belgium,2021-05-28,Moderna,575684
Belgium,2021-05-28,Oxford/AstraZeneca,1465247
Belgium,2021-05-28,Pfizer/BioNTech,4616262
Belgium,2021-06-04,Johnson&Johnson,97215
Belgium,2021-06-04,Moderna,651865
Belgium,2021-06-04,Oxford/AstraZeneca,1568440
Belgium,2021-06-04,Pfizer/BioNTech,5314522
Belgium,2021-06-11,Johnson&Johnson,143212
Belgium,2021-06-11,Moderna,738104
Belgium,2021-06-11,Oxford/AstraZeneca,1755274
Belgium,2021-06-11,Pfizer/BioNTech,6067465
Belgium,2021-06-18,Johnson&Johnson,212516
Belgium,2021-06-18,Moderna,844328
Belgium,2021-06-18,Oxford/AstraZeneca,1890040
Belgium,2021-06-18,Pfizer/BioNTech,6779715
Belgium,2021-06-25,Johnson&Johnson,243368
Belgium,2021-06-25,Moderna,956824
Belgium,2021-06-25,Oxford/AstraZeneca,1959042
Belgium,2021-06-25,Pfizer/BioNTech,7438933
Belgium,2021-07-02,Johnson&Johnson,266744
Belgium,2021-07-02,Moderna,1040286
Belgium,2021-07-02,Oxford/AstraZeneca,2058767
Belgium,2021-07-02,Pfizer/BioNTech,7906815
Belgium,2021-07-09,Johnson&Johnson,281718
Belgium,2021-07-09,Moderna,1101755
Belgium,2021-07-09,Oxford/AstraZeneca,2285709
Belgium,2021-07-09,Pfizer/BioNTech,8439926
Belgium,2021-07-16,Johnson&Johnson,299627
Belgium,2021-07-16,Moderna,1156360
Belgium,2021-07-16,Oxford/AstraZeneca,2439996
Belgium,2021-07-16,Pfizer/BioNTech,8946057
Belgium,2021-07-23,Johnson&Johnson,310098
Belgium,2021-07-23,Moderna,1209795
Belgium,2021-07-23,Oxford/AstraZeneca,2546136
Belgium,2021-07-23,Pfizer/BioNTech,9497268
Belgium,2021-07-30,Johnson&Johnson,319128
Belgium,2021-07-30,Moderna,1240612
Belgium,2021-07-30,Oxford/AstraZeneca,2637397
Belgium,2021-07-30,Pfizer/BioNTech,10005055
Belgium,2021-08-06,Johnson&Johnson,327927
Belgium,2021-08-06,Moderna,1263971
Belgium,2021-08-06,Oxford/AstraZeneca,2697726
Belgium,2021-08-06,Pfizer/BioNTech,10362496
Belgium,2021-08-13,Johnson&Johnson,334786
Belgium,2021-08-13,Moderna,1281175
Belgium,2021-08-13,Oxford/AstraZeneca,2810331
Belgium,2021-08-13,Pfizer/BioNTech,10510242
Belgium,2021-08-20,Johnson&Johnson,337333
Belgium,2021-08-20,Moderna,1287377
Belgium,2021-08-20,Oxford/AstraZeneca,2816588
Belgium,2021-08-20,Pfizer/BioNTech,10555461
