date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,1266,Czechia
2020-12-28,Pfizer/BioNTech,3565,Czechia
2020-12-29,Pfizer/BioNTech,7021,Czechia
2020-12-30,Pfizer/BioNTech,10514,Czechia
2020-12-31,Pfizer/BioNTech,11819,Czechia
2021-01-01,Moderna,1,Czechia
2021-01-01,Pfizer/BioNTech,12081,Czechia
2021-01-02,Pfizer/BioNTech,13353,Czechia
2021-01-03,Pfizer/BioNTech,14271,Czechia
2021-01-04,Moderna,4,Czechia
2021-01-04,Pfizer/BioNTech,17862,Czechia
2021-01-05,Pfizer/BioNTech,22361,Czechia
2021-01-05,Moderna,5,Czechia
2021-01-06,Pfizer/BioNTech,28197,Czechia
2021-01-07,Pfizer/BioNTech,36159,Czechia
2021-01-08,Pfizer/BioNTech,46127,Czechia
2021-01-09,Pfizer/BioNTech,48145,Czechia
2021-01-10,Pfizer/BioNTech,49904,Czechia
2021-01-11,Pfizer/BioNTech,59720,Czechia
2021-01-12,Pfizer/BioNTech,73122,Czechia
2021-01-13,Pfizer/BioNTech,86616,Czechia
2021-01-14,Moderna,1238,Czechia
2021-01-14,Pfizer/BioNTech,100573,Czechia
2021-01-15,Pfizer/BioNTech,113771,Czechia
2021-01-15,Moderna,1998,Czechia
2021-01-16,Moderna,2324,Czechia
2021-01-16,Pfizer/BioNTech,116823,Czechia
2021-01-17,Moderna,2413,Czechia
2021-01-17,Pfizer/BioNTech,119974,Czechia
2021-01-18,Moderna,2590,Czechia
2021-01-18,Pfizer/BioNTech,134083,Czechia
2021-01-19,Moderna,3366,Czechia
2021-01-19,Pfizer/BioNTech,148568,Czechia
2021-01-20,Moderna,4948,Czechia
2021-01-20,Pfizer/BioNTech,163255,Czechia
2021-01-21,Pfizer/BioNTech,179622,Czechia
2021-01-21,Moderna,5907,Czechia
2021-01-22,Moderna,6103,Czechia
2021-01-22,Pfizer/BioNTech,195279,Czechia
2021-01-23,Moderna,6144,Czechia
2021-01-23,Pfizer/BioNTech,199402,Czechia
2021-01-24,Moderna,6268,Czechia
2021-01-24,Pfizer/BioNTech,202389,Czechia
2021-01-25,Moderna,6468,Czechia
