location,date,vaccine,total_vaccinations
Estonia,2021-01-01,Pfizer/BioNTech,191
Estonia,2021-01-08,Pfizer/BioNTech,10923
Estonia,2021-01-15,Moderna,0
Estonia,2021-01-15,Pfizer/BioNTech,18182
Estonia,2021-01-22,Moderna,417
Estonia,2021-01-22,Pfizer/BioNTech,25621
Estonia,2021-01-29,Moderna,783
Estonia,2021-01-29,Pfizer/BioNTech,37916
Estonia,2021-02-05,Moderna,1308
Estonia,2021-02-05,Pfizer/BioNTech,52374
Estonia,2021-02-12,Moderna,2058
Estonia,2021-02-12,Oxford/AstraZeneca,0
Estonia,2021-02-12,Pfizer/BioNTech,66712
Estonia,2021-02-19,Moderna,2540
Estonia,2021-02-19,Oxford/AstraZeneca,7952
Estonia,2021-02-19,Pfizer/BioNTech,78875
Estonia,2021-02-26,Moderna,3294
Estonia,2021-02-26,Oxford/AstraZeneca,20233
Estonia,2021-02-26,Pfizer/BioNTech,90202
Estonia,2021-03-05,Moderna,5698
Estonia,2021-03-05,Oxford/AstraZeneca,38295
Estonia,2021-03-05,Pfizer/BioNTech,103754
Estonia,2021-03-12,Moderna,9208
Estonia,2021-03-12,Oxford/AstraZeneca,62901
Estonia,2021-03-12,Pfizer/BioNTech,121123
Estonia,2021-03-19,Moderna,11763
Estonia,2021-03-19,Oxford/AstraZeneca,78954
Estonia,2021-03-19,Pfizer/BioNTech,136514
Estonia,2021-03-26,Moderna,13998
Estonia,2021-03-26,Oxford/AstraZeneca,88208
Estonia,2021-03-26,Pfizer/BioNTech,156251
Estonia,2021-04-02,Moderna,17336
Estonia,2021-04-02,Oxford/AstraZeneca,106791
Estonia,2021-04-02,Pfizer/BioNTech,175450
Estonia,2021-04-09,Moderna,22382
Estonia,2021-04-09,Oxford/AstraZeneca,116771
Estonia,2021-04-09,Pfizer/BioNTech,199874
Estonia,2021-04-16,Johnson&Johnson,0
Estonia,2021-04-16,Moderna,26115
Estonia,2021-04-16,Oxford/AstraZeneca,126254
Estonia,2021-04-16,Pfizer/BioNTech,227066
Estonia,2021-04-23,Johnson&Johnson,0
Estonia,2021-04-23,Moderna,30860
Estonia,2021-04-23,Oxford/AstraZeneca,136495
Estonia,2021-04-23,Pfizer/BioNTech,250957
Estonia,2021-04-30,Johnson&Johnson,35
Estonia,2021-04-30,Moderna,35835
Estonia,2021-04-30,Oxford/AstraZeneca,152408
Estonia,2021-04-30,Pfizer/BioNTech,284972
Estonia,2021-05-07,Johnson&Johnson,346
Estonia,2021-05-07,Moderna,40582
Estonia,2021-05-07,Oxford/AstraZeneca,169931
Estonia,2021-05-07,Pfizer/BioNTech,331907
Estonia,2021-05-14,Johnson&Johnson,1077
Estonia,2021-05-14,Moderna,46205
Estonia,2021-05-14,Oxford/AstraZeneca,176720
Estonia,2021-05-14,Pfizer/BioNTech,367036
Estonia,2021-05-21,Johnson&Johnson,5774
Estonia,2021-05-21,Moderna,56918
Estonia,2021-05-21,Oxford/AstraZeneca,179627
Estonia,2021-05-21,Pfizer/BioNTech,411975
Estonia,2021-05-28,Johnson&Johnson,11196
Estonia,2021-05-28,Moderna,65274
Estonia,2021-05-28,Oxford/AstraZeneca,181758
Estonia,2021-05-28,Pfizer/BioNTech,458669
Estonia,2021-06-04,Johnson&Johnson,15042
Estonia,2021-06-04,Moderna,70694
Estonia,2021-06-04,Oxford/AstraZeneca,189208
Estonia,2021-06-04,Pfizer/BioNTech,501347
Estonia,2021-06-11,Johnson&Johnson,16322
Estonia,2021-06-11,Moderna,77787
Estonia,2021-06-11,Oxford/AstraZeneca,207045
Estonia,2021-06-11,Pfizer/BioNTech,543197
Estonia,2021-06-18,Johnson&Johnson,18881
Estonia,2021-06-18,Moderna,86061
Estonia,2021-06-18,Oxford/AstraZeneca,218232
Estonia,2021-06-18,Pfizer/BioNTech,591116
Estonia,2021-06-25,Johnson&Johnson,20360
Estonia,2021-06-25,Moderna,89879
Estonia,2021-06-25,Oxford/AstraZeneca,225352
Estonia,2021-06-25,Pfizer/BioNTech,608856
Estonia,2021-07-02,Johnson&Johnson,23550
Estonia,2021-07-02,Moderna,94418
Estonia,2021-07-02,Oxford/AstraZeneca,232891
Estonia,2021-07-02,Pfizer/BioNTech,641417
Estonia,2021-07-09,Johnson&Johnson,25699
Estonia,2021-07-09,Moderna,97932
Estonia,2021-07-09,Oxford/AstraZeneca,234565
Estonia,2021-07-09,Pfizer/BioNTech,673429
Estonia,2021-07-16,Johnson&Johnson,29528
Estonia,2021-07-16,Moderna,100172
Estonia,2021-07-16,Oxford/AstraZeneca,235070
Estonia,2021-07-16,Pfizer/BioNTech,700788
Estonia,2021-07-23,Johnson&Johnson,33698
Estonia,2021-07-23,Moderna,102290
Estonia,2021-07-23,Oxford/AstraZeneca,235384
Estonia,2021-07-23,Pfizer/BioNTech,732807
Estonia,2021-07-30,Johnson&Johnson,36539
Estonia,2021-07-30,Moderna,105216
Estonia,2021-07-30,Oxford/AstraZeneca,235762
Estonia,2021-07-30,Pfizer/BioNTech,756161
Estonia,2021-08-06,Johnson&Johnson,40193
Estonia,2021-08-06,Moderna,107975
Estonia,2021-08-06,Oxford/AstraZeneca,236051
Estonia,2021-08-06,Pfizer/BioNTech,781145
Estonia,2021-08-13,Johnson&Johnson,43308
Estonia,2021-08-13,Moderna,112015
Estonia,2021-08-13,Oxford/AstraZeneca,236279
Estonia,2021-08-13,Pfizer/BioNTech,805862
Estonia,2021-08-20,Johnson&Johnson,43933
Estonia,2021-08-20,Moderna,114364
Estonia,2021-08-20,Oxford/AstraZeneca,236405
Estonia,2021-08-20,Pfizer/BioNTech,816769
