date,total_vaccinations,vaccine,location
2020-12-27,251,Pfizer/BioNTech,France
2020-12-28,518,Pfizer/BioNTech,France
2020-12-29,714,Pfizer/BioNTech,France
2020-12-30,955,Pfizer/BioNTech,France
2020-12-31,1138,Pfizer/BioNTech,France
2021-01-01,1334,Pfizer/BioNTech,France
2021-01-02,1489,Pfizer/BioNTech,France
2021-01-03,1680,Pfizer/BioNTech,France
2021-01-04,3323,Pfizer/BioNTech,France
2021-01-05,8930,Pfizer/BioNTech,France
2021-01-06,20433,Pfizer/BioNTech,France
2021-01-07,49372,Pfizer/BioNTech,France
2021-01-08,85994,Pfizer/BioNTech,France
2021-01-09,97028,Pfizer/BioNTech,France
2021-01-10,102759,Pfizer/BioNTech,France
2021-01-11,142262,Pfizer/BioNTech,France
2021-01-12,203773,Pfizer/BioNTech,France
2021-01-13,268228,Pfizer/BioNTech,France
2021-01-14,348892,Pfizer/BioNTech,France
2021-01-15,416923,Pfizer/BioNTech,France
2021-01-16,436715,Pfizer/BioNTech,France
2021-01-17,447392,Pfizer/BioNTech,France
2021-01-18,529723,Pfizer/BioNTech,France
2021-01-19,654960,Pfizer/BioNTech,France
2021-01-20,786659,Pfizer/BioNTech,France
2021-01-21,938640,Pfizer/BioNTech,France
2021-01-22,1053872,Pfizer/BioNTech,France
2021-01-23,1090257,Pfizer/BioNTech,France
2021-01-24,1099663,Pfizer/BioNTech,France
2021-01-25,1174696,Pfizer/BioNTech,France
2021-01-26,1273682,Pfizer/BioNTech,France
2021-01-27,1382302,Pfizer/BioNTech,France
2021-01-28,1516563,Pfizer/BioNTech,France
2021-01-29,1622189,Pfizer/BioNTech,France
2021-01-30,1654197,Pfizer/BioNTech,France
2021-01-31,1660876,Pfizer/BioNTech,France
2021-02-01,1730764,Pfizer/BioNTech,France
2021-02-02,1832341,Pfizer/BioNTech,France
2021-02-03,1935781,Pfizer/BioNTech,France
2021-02-04,2062262,Pfizer/BioNTech,France
2021-02-05,2170515,Pfizer/BioNTech,France
2021-02-06,2200096,Pfizer/BioNTech,France
