date,location,vaccine,total_vaccinations
2020-12-27,Germany,Pfizer/BioNTech,24087
2020-12-28,Germany,Pfizer/BioNTech,42078
2020-12-29,Germany,Pfizer/BioNTech,92084
2020-12-30,Germany,Pfizer/BioNTech,155579
2020-12-31,Germany,Pfizer/BioNTech,205270
2021-01-01,Germany,Pfizer/BioNTech,230612
2021-01-02,Germany,Pfizer/BioNTech,278556
2021-01-03,Germany,Pfizer/BioNTech,300967
2021-01-04,Germany,Pfizer/BioNTech,346809
2021-01-05,Germany,Pfizer/BioNTech,399040
2021-01-06,Germany,Pfizer/BioNTech,461539
2021-01-07,Germany,Pfizer/BioNTech,516114
2021-01-08,Germany,Pfizer/BioNTech,578278
2021-01-09,Germany,Pfizer/BioNTech,638278
2021-01-10,Germany,Pfizer/BioNTech,674000
2021-01-11,Germany,Pfizer/BioNTech,741797
2021-01-12,Germany,Pfizer/BioNTech,820329
2021-01-13,Germany,Pfizer/BioNTech,930381
2021-01-14,Germany,Pfizer/BioNTech,1008805
2021-01-15,Germany,Pfizer/BioNTech,1094515
2021-01-16,Germany,Pfizer/BioNTech,1150308
2021-01-17,Germany,Pfizer/BioNTech,1196386
2021-01-18,Germany,Pfizer/BioNTech,1274455
2021-01-19,Germany,Pfizer/BioNTech,1389782
2021-01-20,Germany,Pfizer/BioNTech,1518481
2021-01-21,Germany,Pfizer/BioNTech,1620576
2021-01-22,Germany,Pfizer/BioNTech,1719771
2021-01-23,Germany,Pfizer/BioNTech,1805751
2021-01-24,Germany,Pfizer/BioNTech,1852673
2021-01-25,Germany,Pfizer/BioNTech,1942013
2021-01-26,Germany,Pfizer/BioNTech,2038010
2021-01-27,Germany,Pfizer/BioNTech,2145233
2021-01-28,Germany,Pfizer/BioNTech,2236071
2021-01-29,Germany,Pfizer/BioNTech,2342315
2021-01-30,Germany,Pfizer/BioNTech,2429428
2021-01-31,Germany,Pfizer/BioNTech,2485850
2021-02-01,Germany,Pfizer/BioNTech,2603008
2021-02-02,Germany,Pfizer/BioNTech,2732148
2021-02-03,Germany,Pfizer/BioNTech,2887729
2021-02-04,Germany,Pfizer/BioNTech,3015780
2021-02-05,Germany,Pfizer/BioNTech,3156080
2021-02-06,Germany,Pfizer/BioNTech,3247122
2021-02-07,Germany,Pfizer/BioNTech,3298100
2021-02-08,Germany,Pfizer/BioNTech,3403111
2021-02-09,Germany,Pfizer/BioNTech,3533551
2021-02-10,Germany,Pfizer/BioNTech,3675388
2021-02-11,Germany,Pfizer/BioNTech,3795543
2021-02-12,Germany,Pfizer/BioNTech,3927109
2021-02-13,Germany,Pfizer/BioNTech,4017820
2021-02-14,Germany,Pfizer/BioNTech,4073272
2021-02-15,Germany,Pfizer/BioNTech,4177792
2021-02-16,Germany,Pfizer/BioNTech,4286020
2021-02-17,Germany,Pfizer/BioNTech,4407963
2021-02-18,Germany,Pfizer/BioNTech,4520099
2021-02-19,Germany,Pfizer/BioNTech,4641023
2021-02-20,Germany,Pfizer/BioNTech,4727411
2021-02-21,Germany,Pfizer/BioNTech,4793917
2021-02-22,Germany,Pfizer/BioNTech,4916578
2021-02-23,Germany,Pfizer/BioNTech,5050353
2021-02-24,Germany,Pfizer/BioNTech,5181781
2021-02-25,Germany,Pfizer/BioNTech,5313097
2021-02-26,Germany,Pfizer/BioNTech,5453866
2021-02-27,Germany,Pfizer/BioNTech,5546514
2021-02-28,Germany,Pfizer/BioNTech,5607791
2021-03-01,Germany,Pfizer/BioNTech,5738030
2021-03-02,Germany,Pfizer/BioNTech,5878176
2021-03-03,Germany,Pfizer/BioNTech,6035912
2021-03-04,Germany,Pfizer/BioNTech,6177112
2021-03-05,Germany,Pfizer/BioNTech,6325021
2021-03-06,Germany,Pfizer/BioNTech,6434249
2021-03-07,Germany,Pfizer/BioNTech,6513987
2021-03-08,Germany,Pfizer/BioNTech,6647891
2021-03-09,Germany,Pfizer/BioNTech,6787987
2021-03-10,Germany,Pfizer/BioNTech,6947086
2021-03-11,Germany,Pfizer/BioNTech,7094696
2021-03-12,Germany,Pfizer/BioNTech,7246272
2021-03-13,Germany,Pfizer/BioNTech,7362284
2021-03-14,Germany,Pfizer/BioNTech,7450344
2021-03-15,Germany,Pfizer/BioNTech,7603150
2021-03-16,Germany,Pfizer/BioNTech,7769768
2021-03-17,Germany,Pfizer/BioNTech,7956057
2021-03-18,Germany,Pfizer/BioNTech,8130268
2021-03-19,Germany,Pfizer/BioNTech,8315864
2021-03-20,Germany,Pfizer/BioNTech,8451225
2021-03-21,Germany,Pfizer/BioNTech,8553399
2021-03-22,Germany,Pfizer/BioNTech,8719842
2021-03-23,Germany,Pfizer/BioNTech,8901527
2021-03-24,Germany,Pfizer/BioNTech,9101832
2021-03-25,Germany,Pfizer/BioNTech,9287339
2021-03-26,Germany,Pfizer/BioNTech,9487116
2021-03-27,Germany,Pfizer/BioNTech,9636701
2021-03-28,Germany,Pfizer/BioNTech,9752029
2021-03-29,Germany,Pfizer/BioNTech,9940732
2021-03-30,Germany,Pfizer/BioNTech,10159293
2021-03-31,Germany,Pfizer/BioNTech,10406781
2021-04-01,Germany,Pfizer/BioNTech,10645710
2021-04-02,Germany,Pfizer/BioNTech,10825240
2021-04-03,Germany,Pfizer/BioNTech,10999453
2021-04-04,Germany,Pfizer/BioNTech,11131656
2021-04-05,Germany,Pfizer/BioNTech,11296666
2021-04-06,Germany,Pfizer/BioNTech,11551585
