location,date,vaccine,total_vaccinations
Ireland,2021-01-01,Pfizer/BioNTech,0
Ireland,2021-01-08,Johnson&Johnson,0
Ireland,2021-01-08,Moderna,0
Ireland,2021-01-08,Pfizer/BioNTech,50398
Ireland,2021-01-15,Moderna,1910
Ireland,2021-01-15,Oxford/AstraZeneca,0
Ireland,2021-01-15,Pfizer/BioNTech,97167
Ireland,2021-01-22,Moderna,1922
Ireland,2021-01-22,Oxford/AstraZeneca,0
Ireland,2021-01-22,Pfizer/BioNTech,147012
Ireland,2021-01-29,Moderna,1925
Ireland,2021-01-29,Oxford/AstraZeneca,0
Ireland,2021-01-29,Pfizer/BioNTech,200862
Ireland,2021-02-05,Moderna,1931
Ireland,2021-02-05,Oxford/AstraZeneca,19
Ireland,2021-02-05,Pfizer/BioNTech,253953
Ireland,2021-02-12,Moderna,4100
Ireland,2021-02-12,Oxford/AstraZeneca,17617
Ireland,2021-02-12,Pfizer/BioNTech,267484
Ireland,2021-02-19,Johnson&Johnson,0
Ireland,2021-02-19,Moderna,5302
Ireland,2021-02-19,Oxford/AstraZeneca,38201
Ireland,2021-02-19,Pfizer/BioNTech,331003
Ireland,2021-02-26,Moderna,9705
Ireland,2021-02-26,Oxford/AstraZeneca,71852
Ireland,2021-02-26,Pfizer/BioNTech,381521
Ireland,2021-03-05,Moderna,16921
Ireland,2021-03-05,Oxford/AstraZeneca,99407
Ireland,2021-03-05,Pfizer/BioNTech,433217
Ireland,2021-03-12,Moderna,20900
Ireland,2021-03-12,Oxford/AstraZeneca,132357
Ireland,2021-03-12,Pfizer/BioNTech,485806
Ireland,2021-03-19,Moderna,22673
Ireland,2021-03-19,Oxford/AstraZeneca,135670
Ireland,2021-03-19,Pfizer/BioNTech,547416
Ireland,2021-03-26,Johnson&Johnson,0
Ireland,2021-03-26,Moderna,30519
Ireland,2021-03-26,Oxford/AstraZeneca,173451
Ireland,2021-03-26,Pfizer/BioNTech,633186
Ireland,2021-04-02,Moderna,43041
Ireland,2021-04-02,Oxford/AstraZeneca,208379
Ireland,2021-04-02,Pfizer/BioNTech,724199
Ireland,2021-04-09,Johnson&Johnson,0
Ireland,2021-04-09,Moderna,51424
Ireland,2021-04-09,Oxford/AstraZeneca,239726
Ireland,2021-04-09,Pfizer/BioNTech,814465
Ireland,2021-04-16,Johnson&Johnson,1
Ireland,2021-04-16,Moderna,56186
Ireland,2021-04-16,Oxford/AstraZeneca,248147
Ireland,2021-04-16,Pfizer/BioNTech,953564
Ireland,2021-04-23,Johnson&Johnson,1
Ireland,2021-04-23,Moderna,69486
Ireland,2021-04-23,Oxford/AstraZeneca,305793
Ireland,2021-04-23,Pfizer/BioNTech,1077621
Ireland,2021-04-30,Johnson&Johnson,1
Ireland,2021-04-30,Moderna,83517
Ireland,2021-04-30,Oxford/AstraZeneca,389203
Ireland,2021-04-30,Pfizer/BioNTech,1193263
Ireland,2021-05-07,Johnson&Johnson,263
Ireland,2021-05-07,Moderna,93208
Ireland,2021-05-07,Oxford/AstraZeneca,515475
Ireland,2021-05-07,Pfizer/BioNTech,1308351
Ireland,2021-05-14,Johnson&Johnson,1042
Ireland,2021-05-14,Moderna,119139
Ireland,2021-05-14,Oxford/AstraZeneca,594878
Ireland,2021-05-14,Pfizer/BioNTech,1525484
Ireland,2021-05-21,Johnson&Johnson,40115
Ireland,2021-05-21,Moderna,158395
Ireland,2021-05-21,Oxford/AstraZeneca,609554
Ireland,2021-05-21,Pfizer/BioNTech,1759502
Ireland,2021-05-28,Johnson&Johnson,57481
Ireland,2021-05-28,Moderna,194202
Ireland,2021-05-28,Oxford/AstraZeneca,659808
Ireland,2021-05-28,Pfizer/BioNTech,1960397
Ireland,2021-06-04,Johnson&Johnson,70542
Ireland,2021-06-04,Moderna,233359
Ireland,2021-06-04,Oxford/AstraZeneca,696778
Ireland,2021-06-04,Pfizer/BioNTech,2142725
Ireland,2021-06-11,Johnson&Johnson,71808
Ireland,2021-06-11,Moderna,273197
Ireland,2021-06-11,Oxford/AstraZeneca,714359
Ireland,2021-06-11,Pfizer/BioNTech,2375148
Ireland,2021-06-18,Johnson&Johnson,73752
Ireland,2021-06-18,Moderna,316364
Ireland,2021-06-18,Oxford/AstraZeneca,807975
Ireland,2021-06-18,Pfizer/BioNTech,2597889
Ireland,2021-06-25,Johnson&Johnson,78023
Ireland,2021-06-25,Moderna,355666
Ireland,2021-06-25,Oxford/AstraZeneca,917513
Ireland,2021-06-25,Pfizer/BioNTech,2816575
Ireland,2021-07-02,Johnson&Johnson,81736
Ireland,2021-07-02,Moderna,401513
Ireland,2021-07-02,Oxford/AstraZeneca,1021729
Ireland,2021-07-02,Pfizer/BioNTech,3025939
Ireland,2021-07-09,Johnson&Johnson,116178
Ireland,2021-07-09,Moderna,434758
Ireland,2021-07-09,Oxford/AstraZeneca,1126584
Ireland,2021-07-09,Pfizer/BioNTech,3239905
Ireland,2021-07-16,Johnson&Johnson,164980
Ireland,2021-07-16,Moderna,471542
Ireland,2021-07-16,Oxford/AstraZeneca,1178939
Ireland,2021-07-16,Pfizer/BioNTech,3473041
Ireland,2021-07-23,Johnson&Johnson,201107
Ireland,2021-07-23,Moderna,498439
Ireland,2021-07-23,Oxford/AstraZeneca,1183101
Ireland,2021-07-23,Pfizer/BioNTech,3732160
Ireland,2021-07-30,Johnson&Johnson,217458
Ireland,2021-07-30,Moderna,513378
Ireland,2021-07-30,Oxford/AstraZeneca,1185714
Ireland,2021-07-30,Pfizer/BioNTech,3962005
Ireland,2021-08-06,Johnson&Johnson,223263
Ireland,2021-08-06,Moderna,532674
Ireland,2021-08-06,Oxford/AstraZeneca,1186929
Ireland,2021-08-06,Pfizer/BioNTech,4127237
Ireland,2021-08-13,Johnson&Johnson,227103
Ireland,2021-08-13,Moderna,548240
Ireland,2021-08-13,Oxford/AstraZeneca,1187250
Ireland,2021-08-13,Pfizer/BioNTech,4285317
Ireland,2021-08-20,Johnson&Johnson,227896
Ireland,2021-08-20,Moderna,552563
Ireland,2021-08-20,Oxford/AstraZeneca,1187673
Ireland,2021-08-20,Pfizer/BioNTech,4332589
