date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,7247,Italy
2020-12-28,Pfizer/BioNTech,8695,Italy
2020-12-29,Pfizer/BioNTech,9724,Italy
2020-12-30,Pfizer/BioNTech,14494,Italy
2020-12-31,Pfizer/BioNTech,40155,Italy
2021-01-01,Pfizer/BioNTech,51285,Italy
2021-01-02,Pfizer/BioNTech,90032,Italy
2021-01-03,Pfizer/BioNTech,125481,Italy
2021-01-04,Johnson&Johnson,1,Italy
2021-01-04,Pfizer/BioNTech,194841,Italy
2021-01-05,Pfizer/BioNTech,275003,Italy
2021-01-06,Moderna,1,Italy
2021-01-06,Pfizer/BioNTech,340445,Italy
2021-01-07,Pfizer/BioNTech,433086,Italy
2021-01-08,Moderna,3,Italy
2021-01-08,Pfizer/BioNTech,529339,Italy
2021-01-09,Pfizer/BioNTech,616828,Italy
2021-01-10,Pfizer/BioNTech,677480,Italy
2021-01-11,Moderna,8,Italy
2021-01-11,Pfizer/BioNTech,759144,Italy
2021-01-12,Pfizer/BioNTech,841935,Italy
2021-01-13,Moderna,9,Italy
2021-01-13,Pfizer/BioNTech,937037,Italy
2021-01-14,Moderna,95,Italy
2021-01-14,Pfizer/BioNTech,1031345,Italy
2021-01-15,Moderna,1193,Italy
2021-01-15,Pfizer/BioNTech,1120735,Italy
2021-01-16,Moderna,2141,Italy
2021-01-16,Pfizer/BioNTech,1185256,Italy
2021-01-17,Moderna,2435,Italy
2021-01-17,Pfizer/BioNTech,1222278,Italy
2021-01-18,Moderna,3656,Italy
2021-01-18,Oxford/AstraZeneca,2,Italy
2021-01-18,Pfizer/BioNTech,1265351,Italy
2021-01-19,Moderna,5930,Italy
2021-01-19,Pfizer/BioNTech,1296316,Italy
2021-01-20,Moderna,9380,Italy
2021-01-20,Pfizer/BioNTech,1323962,Italy
2021-01-21,Moderna,12174,Italy
2021-01-21,Pfizer/BioNTech,1357169,Italy
2021-01-22,Moderna,13932,Italy
2021-01-22,Oxford/AstraZeneca,6,Italy
2021-01-22,Pfizer/BioNTech,1382283,Italy
2021-01-23,Moderna,14964,Italy
2021-01-23,Pfizer/BioNTech,1420424,Italy
2021-01-24,Moderna,15751,Italy
2021-01-24,Pfizer/BioNTech,1453573,Italy
2021-01-25,Moderna,16353,Italy
2021-01-25,Pfizer/BioNTech,1522222,Italy
2021-01-26,Moderna,17070,Italy
2021-01-26,Pfizer/BioNTech,1602042,Italy
2021-01-27,Moderna,17688,Italy
2021-01-27,Pfizer/BioNTech,1672254,Italy
2021-01-28,Moderna,18464,Italy
2021-01-28,Pfizer/BioNTech,1765151,Italy
2021-01-29,Moderna,19277,Italy
2021-01-29,Pfizer/BioNTech,1862437,Italy
2021-01-30,Moderna,19752,Italy
2021-01-30,Oxford/AstraZeneca,7,Italy
2021-01-30,Pfizer/BioNTech,1952323,Italy
2021-01-31,Moderna,19963,Italy
2021-01-31,Oxford/AstraZeneca,8,Italy
2021-01-31,Pfizer/BioNTech,2011825,Italy
2021-02-01,Moderna,20509,Italy
2021-02-01,Oxford/AstraZeneca,9,Italy
2021-02-01,Pfizer/BioNTech,2097062,Italy
2021-02-02,Moderna,21627,Italy
2021-02-02,Oxford/AstraZeneca,35,Italy
2021-02-02,Pfizer/BioNTech,2184044,Italy
2021-02-03,Moderna,23018,Italy
2021-02-03,Pfizer/BioNTech,2282512,Italy
2021-02-04,Moderna,24646,Italy
2021-02-04,Oxford/AstraZeneca,37,Italy
2021-02-04,Pfizer/BioNTech,2389189,Italy
2021-02-05,Moderna,27848,Italy
2021-02-05,Oxford/AstraZeneca,39,Italy
2021-02-05,Pfizer/BioNTech,2493367,Italy
2021-02-06,Moderna,29915,Italy
2021-02-06,Pfizer/BioNTech,2568971,Italy
2021-02-07,Moderna,30811,Italy
2021-02-07,Oxford/AstraZeneca,42,Italy
2021-02-07,Pfizer/BioNTech,2610285,Italy
2021-02-08,Moderna,33432,Italy
2021-02-08,Oxford/AstraZeneca,43,Italy
2021-02-08,Pfizer/BioNTech,2674493,Italy
2021-02-09,Moderna,36780,Italy
2021-02-09,Oxford/AstraZeneca,52,Italy
2021-02-09,Pfizer/BioNTech,2738009,Italy
2021-02-10,Moderna,39601,Italy
2021-02-10,Oxford/AstraZeneca,55,Italy
2021-02-10,Pfizer/BioNTech,2808079,Italy
2021-02-11,Moderna,42731,Italy
2021-02-11,Oxford/AstraZeneca,2957,Italy
2021-02-11,Pfizer/BioNTech,2876783,Italy
2021-02-12,Moderna,46858,Italy
2021-02-12,Oxford/AstraZeneca,7713,Italy
2021-02-12,Pfizer/BioNTech,2941995,Italy
2021-02-13,Moderna,50783,Italy
2021-02-13,Oxford/AstraZeneca,13005,Italy
2021-02-13,Pfizer/BioNTech,2985466,Italy
2021-02-14,Moderna,52302,Italy
2021-02-14,Oxford/AstraZeneca,20159,Italy
2021-02-14,Pfizer/BioNTech,3006692,Italy
2021-02-15,Moderna,56560,Italy
2021-02-15,Oxford/AstraZeneca,27063,Italy
2021-02-15,Pfizer/BioNTech,3058267,Italy
2021-02-16,Moderna,63345,Italy
2021-02-16,Oxford/AstraZeneca,36377,Italy
2021-02-16,Pfizer/BioNTech,3113274,Italy
2021-02-17,Moderna,71115,Italy
2021-02-17,Oxford/AstraZeneca,49117,Italy
2021-02-17,Pfizer/BioNTech,3173172,Italy
2021-02-18,Moderna,78151,Italy
2021-02-18,Oxford/AstraZeneca,66590,Italy
