location,date,vaccine,total_vaccinations
Latvia,2020-05-21,Moderna,1
Latvia,2020-12-04,Moderna,2
Latvia,2020-12-16,Pfizer/BioNTech,1
Latvia,2020-12-18,Pfizer/BioNTech,2
Latvia,2020-12-20,Moderna,5
Latvia,2020-12-21,Pfizer/BioNTech,3
Latvia,2020-12-22,Pfizer/BioNTech,7
Latvia,2020-12-24,Pfizer/BioNTech,9
Latvia,2020-12-27,Pfizer/BioNTech,12
Latvia,2020-12-28,Pfizer/BioNTech,615
Latvia,2020-12-29,Moderna,6
Latvia,2020-12-29,Pfizer/BioNTech,1490
Latvia,2020-12-30,Pfizer/BioNTech,2288
Latvia,2020-12-31,Moderna,7
Latvia,2020-12-31,Pfizer/BioNTech,2291
Latvia,2021-01-01,Pfizer/BioNTech,2295
Latvia,2021-01-02,Pfizer/BioNTech,2297
Latvia,2021-01-03,Pfizer/BioNTech,2298
Latvia,2021-01-04,Moderna,9
Latvia,2021-01-04,Pfizer/BioNTech,3000
Latvia,2021-01-05,Pfizer/BioNTech,3891
Latvia,2021-01-06,Moderna,10
Latvia,2021-01-06,Pfizer/BioNTech,4669
Latvia,2021-01-07,Pfizer/BioNTech,5481
Latvia,2021-01-08,Pfizer/BioNTech,6394
Latvia,2021-01-09,Pfizer/BioNTech,6699
Latvia,2021-01-10,Pfizer/BioNTech,7035
Latvia,2021-01-11,Moderna,14
Latvia,2021-01-11,Pfizer/BioNTech,8402
Latvia,2021-01-12,Moderna,15
Latvia,2021-01-12,Pfizer/BioNTech,10033
Latvia,2021-01-13,Johnson&Johnson,1
Latvia,2021-01-13,Moderna,148
Latvia,2021-01-13,Pfizer/BioNTech,11419
Latvia,2021-01-14,Moderna,576
Latvia,2021-01-14,Oxford/AstraZeneca,1
Latvia,2021-01-14,Pfizer/BioNTech,12828
Latvia,2021-01-15,Moderna,940
Latvia,2021-01-15,Pfizer/BioNTech,14342
Latvia,2021-01-16,Moderna,971
Latvia,2021-01-16,Pfizer/BioNTech,14983
Latvia,2021-01-17,Oxford/AstraZeneca,2
Latvia,2021-01-17,Pfizer/BioNTech,15103
Latvia,2021-01-18,Moderna,1115
Latvia,2021-01-18,Pfizer/BioNTech,15813
Latvia,2021-01-19,Moderna,1177
Latvia,2021-01-19,Pfizer/BioNTech,16632
Latvia,2021-01-20,Moderna,1187
Latvia,2021-01-20,Pfizer/BioNTech,17404
Latvia,2021-01-21,Moderna,1189
Latvia,2021-01-21,Pfizer/BioNTech,17690
Latvia,2021-01-22,Moderna,1210
Latvia,2021-01-22,Pfizer/BioNTech,17896
Latvia,2021-01-23,Pfizer/BioNTech,18025
Latvia,2021-01-24,Pfizer/BioNTech,18026
Latvia,2021-01-25,Moderna,1211
Latvia,2021-01-25,Oxford/AstraZeneca,3
Latvia,2021-01-25,Pfizer/BioNTech,18700
Latvia,2021-01-26,Moderna,1224
Latvia,2021-01-26,Pfizer/BioNTech,19546
Latvia,2021-01-27,Moderna,1231
Latvia,2021-01-27,Pfizer/BioNTech,20372
Latvia,2021-01-28,Moderna,1232
Latvia,2021-01-28,Pfizer/BioNTech,21157
Latvia,2021-01-29,Moderna,1244
Latvia,2021-01-29,Pfizer/BioNTech,22113
Latvia,2021-01-30,Moderna,1245
Latvia,2021-01-30,Oxford/AstraZeneca,6
Latvia,2021-01-30,Pfizer/BioNTech,22422
Latvia,2021-01-31,Moderna,1246
Latvia,2021-01-31,Oxford/AstraZeneca,7
Latvia,2021-01-31,Pfizer/BioNTech,22765
Latvia,2021-02-01,Moderna,1247
Latvia,2021-02-01,Oxford/AstraZeneca,8
Latvia,2021-02-01,Pfizer/BioNTech,23956
Latvia,2021-02-02,Moderna,1370
Latvia,2021-02-02,Oxford/AstraZeneca,10
Latvia,2021-02-02,Pfizer/BioNTech,25658
Latvia,2021-02-03,Moderna,1593
Latvia,2021-02-03,Pfizer/BioNTech,27066
Latvia,2021-02-04,Moderna,1704
Latvia,2021-02-04,Pfizer/BioNTech,28467
Latvia,2021-02-05,Moderna,1794
Latvia,2021-02-05,Oxford/AstraZeneca,12
Latvia,2021-02-05,Pfizer/BioNTech,30047
Latvia,2021-02-06,Oxford/AstraZeneca,14
Latvia,2021-02-06,Pfizer/BioNTech,30617
Latvia,2021-02-07,Oxford/AstraZeneca,15
Latvia,2021-02-07,Pfizer/BioNTech,30744
Latvia,2021-02-08,Moderna,1838
Latvia,2021-02-08,Oxford/AstraZeneca,17
Latvia,2021-02-08,Pfizer/BioNTech,31116
Latvia,2021-02-09,Moderna,1860
Latvia,2021-02-09,Oxford/AstraZeneca,39
Latvia,2021-02-09,Pfizer/BioNTech,31263
Latvia,2021-02-10,Moderna,1992
Latvia,2021-02-10,Oxford/AstraZeneca,456
Latvia,2021-02-10,Pfizer/BioNTech,31360
Latvia,2021-02-11,Moderna,2383
Latvia,2021-02-11,Oxford/AstraZeneca,1552
Latvia,2021-02-11,Pfizer/BioNTech,31673
Latvia,2021-02-12,Moderna,2731
Latvia,2021-02-12,Oxford/AstraZeneca,2722
Latvia,2021-02-12,Pfizer/BioNTech,31903
Latvia,2021-02-13,Moderna,2781
Latvia,2021-02-13,Oxford/AstraZeneca,2945
Latvia,2021-02-13,Pfizer/BioNTech,32032
Latvia,2021-02-14,Moderna,2801
Latvia,2021-02-14,Oxford/AstraZeneca,2947
Latvia,2021-02-14,Pfizer/BioNTech,32036
Latvia,2021-02-15,Moderna,2954
Latvia,2021-02-15,Oxford/AstraZeneca,3644
