location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-01-01,Moderna,0
Netherlands,2021-01-01,Oxford/AstraZeneca,0
Netherlands,2021-01-01,Pfizer/BioNTech,0
Netherlands,2021-01-08,Johnson&Johnson,0
Netherlands,2021-01-08,Moderna,0
Netherlands,2021-01-08,Oxford/AstraZeneca,0
Netherlands,2021-01-08,Pfizer/BioNTech,33756
Netherlands,2021-01-15,Johnson&Johnson,0
Netherlands,2021-01-15,Moderna,0
Netherlands,2021-01-15,Oxford/AstraZeneca,0
Netherlands,2021-01-15,Pfizer/BioNTech,76945
Netherlands,2021-01-22,Johnson&Johnson,0
Netherlands,2021-01-22,Moderna,2572
Netherlands,2021-01-22,Oxford/AstraZeneca,0
Netherlands,2021-01-22,Pfizer/BioNTech,163702
Netherlands,2021-01-29,Johnson&Johnson,0
Netherlands,2021-01-29,Moderna,8883
Netherlands,2021-01-29,Oxford/AstraZeneca,0
Netherlands,2021-01-29,Pfizer/BioNTech,342743
Netherlands,2021-02-05,Johnson&Johnson,0
Netherlands,2021-02-05,Moderna,14873
Netherlands,2021-02-05,Oxford/AstraZeneca,0
Netherlands,2021-02-05,Pfizer/BioNTech,556716
Netherlands,2021-02-12,Johnson&Johnson,0
Netherlands,2021-02-12,Moderna,21226
Netherlands,2021-02-12,Oxford/AstraZeneca,525
Netherlands,2021-02-12,Pfizer/BioNTech,766678
Netherlands,2021-02-19,Johnson&Johnson,0
Netherlands,2021-02-19,Moderna,37220
Netherlands,2021-02-19,Oxford/AstraZeneca,69118
Netherlands,2021-02-19,Pfizer/BioNTech,931865
Netherlands,2021-02-26,Johnson&Johnson,0
Netherlands,2021-02-26,Moderna,56588
Netherlands,2021-02-26,Oxford/AstraZeneca,182011
Netherlands,2021-02-26,Pfizer/BioNTech,1144285
Netherlands,2021-03-05,Johnson&Johnson,0
Netherlands,2021-03-05,Moderna,75073
Netherlands,2021-03-05,Oxford/AstraZeneca,257567
Netherlands,2021-03-05,Pfizer/BioNTech,1344565
Netherlands,2021-03-12,Johnson&Johnson,0
Netherlands,2021-03-12,Moderna,93971
Netherlands,2021-03-12,Oxford/AstraZeneca,358382
Netherlands,2021-03-12,Pfizer/BioNTech,1509969
Netherlands,2021-03-19,Johnson&Johnson,0
Netherlands,2021-03-19,Moderna,114008
Netherlands,2021-03-19,Oxford/AstraZeneca,358382
Netherlands,2021-03-19,Pfizer/BioNTech,1704319
Netherlands,2021-03-26,Johnson&Johnson,0
Netherlands,2021-03-26,Moderna,154729
Netherlands,2021-03-26,Oxford/AstraZeneca,454485
Netherlands,2021-03-26,Pfizer/BioNTech,1865509
Netherlands,2021-04-02,Johnson&Johnson,0
Netherlands,2021-04-02,Moderna,196134
Netherlands,2021-04-02,Oxford/AstraZeneca,575025
Netherlands,2021-04-02,Pfizer/BioNTech,2154381
Netherlands,2021-04-09,Johnson&Johnson,0
Netherlands,2021-04-09,Moderna,230342
Netherlands,2021-04-09,Oxford/AstraZeneca,844617
Netherlands,2021-04-09,Pfizer/BioNTech,2493924
Netherlands,2021-04-16,Johnson&Johnson,0
Netherlands,2021-04-16,Moderna,261749
Netherlands,2021-04-16,Oxford/AstraZeneca,1156625
Netherlands,2021-04-16,Pfizer/BioNTech,2957878
Netherlands,2021-04-23,Johnson&Johnson,8886
Netherlands,2021-04-23,Moderna,295993
Netherlands,2021-04-23,Oxford/AstraZeneca,1263488
Netherlands,2021-04-23,Pfizer/BioNTech,3461821
Netherlands,2021-04-30,Johnson&Johnson,48509
Netherlands,2021-04-30,Moderna,325559
Netherlands,2021-04-30,Oxford/AstraZeneca,1352524
Netherlands,2021-04-30,Pfizer/BioNTech,3990222
Netherlands,2021-05-07,Johnson&Johnson,95475
Netherlands,2021-05-07,Moderna,374397
Netherlands,2021-05-07,Oxford/AstraZeneca,1498407
Netherlands,2021-05-07,Pfizer/BioNTech,4592479
Netherlands,2021-05-14,Johnson&Johnson,124392
Netherlands,2021-05-14,Moderna,451875
Netherlands,2021-05-14,Oxford/AstraZeneca,1688511
Netherlands,2021-05-14,Pfizer/BioNTech,5304289
Netherlands,2021-05-21,Johnson&Johnson,142112
Netherlands,2021-05-21,Moderna,536053
Netherlands,2021-05-21,Oxford/AstraZeneca,1836984
Netherlands,2021-05-21,Pfizer/BioNTech,6086521
Netherlands,2021-05-28,Johnson&Johnson,240263
Netherlands,2021-05-28,Moderna,639420
Netherlands,2021-05-28,Oxford/AstraZeneca,1952676
Netherlands,2021-05-28,Pfizer/BioNTech,6779331
Netherlands,2021-06-04,Johnson&Johnson,389402
Netherlands,2021-06-04,Moderna,781588
Netherlands,2021-06-04,Oxford/AstraZeneca,2088608
Netherlands,2021-06-04,Pfizer/BioNTech,7536477
Netherlands,2021-06-11,Johnson&Johnson,438258
Netherlands,2021-06-11,Moderna,944908
Netherlands,2021-06-11,Oxford/AstraZeneca,2302382
Netherlands,2021-06-11,Pfizer/BioNTech,8773032
Netherlands,2021-06-18,Johnson&Johnson,458334
Netherlands,2021-06-18,Moderna,1075473
Netherlands,2021-06-18,Oxford/AstraZeneca,2477643
Netherlands,2021-06-18,Pfizer/BioNTech,9867343
Netherlands,2021-06-25,Johnson&Johnson,541215
Netherlands,2021-06-25,Moderna,1187055
Netherlands,2021-06-25,Oxford/AstraZeneca,2639136
