location,date,vaccine,total_vaccinations
Poland,2021-01-01,Johnson&Johnson,0
Poland,2021-01-01,Moderna,0
Poland,2021-01-01,Oxford/AstraZeneca,0
Poland,2021-01-01,Pfizer/BioNTech,2215
Poland,2021-01-08,Johnson&Johnson,0
Poland,2021-01-08,Moderna,0
Poland,2021-01-08,Oxford/AstraZeneca,1
Poland,2021-01-08,Pfizer/BioNTech,213258
Poland,2021-01-15,Johnson&Johnson,0
Poland,2021-01-15,Moderna,1
Poland,2021-01-15,Oxford/AstraZeneca,3
Poland,2021-01-15,Pfizer/BioNTech,486055
Poland,2021-01-22,Johnson&Johnson,0
Poland,2021-01-22,Moderna,5
Poland,2021-01-22,Oxford/AstraZeneca,6
Poland,2021-01-22,Pfizer/BioNTech,729352
Poland,2021-01-29,Johnson&Johnson,0
Poland,2021-01-29,Moderna,4249
Poland,2021-01-29,Oxford/AstraZeneca,9
Poland,2021-01-29,Pfizer/BioNTech,1197936
Poland,2021-02-05,Johnson&Johnson,0
Poland,2021-02-05,Moderna,9047
Poland,2021-02-05,Oxford/AstraZeneca,11
Poland,2021-02-05,Pfizer/BioNTech,1688855
Poland,2021-02-12,Johnson&Johnson,0
Poland,2021-02-12,Moderna,22762
Poland,2021-02-12,Oxford/AstraZeneca,21514
Poland,2021-02-12,Pfizer/BioNTech,2129917
Poland,2021-02-19,Johnson&Johnson,0
Poland,2021-02-19,Moderna,71321
Poland,2021-02-19,Oxford/AstraZeneca,129373
Poland,2021-02-19,Pfizer/BioNTech,2569513
Poland,2021-02-26,Johnson&Johnson,0
Poland,2021-02-26,Moderna,130681
Poland,2021-02-26,Oxford/AstraZeneca,289306
Poland,2021-02-26,Pfizer/BioNTech,2968409
Poland,2021-03-05,Johnson&Johnson,0
Poland,2021-03-05,Moderna,202527
Poland,2021-03-05,Oxford/AstraZeneca,475423
Poland,2021-03-05,Pfizer/BioNTech,3347350
Poland,2021-03-12,Johnson&Johnson,0
Poland,2021-03-12,Moderna,247723
Poland,2021-03-12,Oxford/AstraZeneca,595378
Poland,2021-03-12,Pfizer/BioNTech,3723944
Poland,2021-03-19,Johnson&Johnson,6
Poland,2021-03-19,Moderna,294335
Poland,2021-03-19,Oxford/AstraZeneca,654459
Poland,2021-03-19,Pfizer/BioNTech,4111501
Poland,2021-03-26,Johnson&Johnson,6
Poland,2021-03-26,Moderna,376081
Poland,2021-03-26,Oxford/AstraZeneca,979266
Poland,2021-03-26,Pfizer/BioNTech,4575161
Poland,2021-04-02,Johnson&Johnson,35
Poland,2021-04-02,Moderna,441755
Poland,2021-04-02,Oxford/AstraZeneca,1277125
Poland,2021-04-02,Pfizer/BioNTech,5000339
Poland,2021-04-09,Johnson&Johnson,54
Poland,2021-04-09,Moderna,516929
Poland,2021-04-09,Oxford/AstraZeneca,1620185
Poland,2021-04-09,Pfizer/BioNTech,5613380
Poland,2021-04-16,Johnson&Johnson,23254
Poland,2021-04-16,Moderna,652203
Poland,2021-04-16,Oxford/AstraZeneca,1878462
Poland,2021-04-16,Pfizer/BioNTech,6395874
Poland,2021-04-23,Johnson&Johnson,76527
Poland,2021-04-23,Moderna,890397
Poland,2021-04-23,Oxford/AstraZeneca,2043406
Poland,2021-04-23,Pfizer/BioNTech,7364633
Poland,2021-04-30,Johnson&Johnson,125344
Poland,2021-04-30,Moderna,1066902
Poland,2021-04-30,Oxford/AstraZeneca,2172851
Poland,2021-04-30,Pfizer/BioNTech,8676688
Poland,2021-05-07,Johnson&Johnson,170090
Poland,2021-05-07,Moderna,1294845
Poland,2021-05-07,Oxford/AstraZeneca,2499813
Poland,2021-05-07,Pfizer/BioNTech,9902530
Poland,2021-05-14,Johnson&Johnson,275135
Poland,2021-05-14,Moderna,1519360
Poland,2021-05-14,Oxford/AstraZeneca,2844110
Poland,2021-05-14,Pfizer/BioNTech,11354889
Poland,2021-05-21,Johnson&Johnson,407417
Poland,2021-05-21,Moderna,1805797
Poland,2021-05-21,Oxford/AstraZeneca,3129042
Poland,2021-05-21,Pfizer/BioNTech,12655737
Poland,2021-05-28,Johnson&Johnson,595518
Poland,2021-05-28,Moderna,2082891
Poland,2021-05-28,Oxford/AstraZeneca,3345966
Poland,2021-05-28,Pfizer/BioNTech,13894410
Poland,2021-06-04,Johnson&Johnson,703099
Poland,2021-06-04,Moderna,2273161
Poland,2021-06-04,Oxford/AstraZeneca,3456927
Poland,2021-06-04,Pfizer/BioNTech,15659452
Poland,2021-06-11,Johnson&Johnson,784316
Poland,2021-06-11,Moderna,2499445
Poland,2021-06-11,Oxford/AstraZeneca,3826570
Poland,2021-06-11,Pfizer/BioNTech,17247957
Poland,2021-06-18,Johnson&Johnson,852658
Poland,2021-06-18,Moderna,2692119
Poland,2021-06-18,Oxford/AstraZeneca,4179623
Poland,2021-06-18,Pfizer/BioNTech,18561798
Poland,2021-06-25,Johnson&Johnson,917605
Poland,2021-06-25,Moderna,2869712
Poland,2021-06-25,Oxford/AstraZeneca,4595427
Poland,2021-06-25,Pfizer/BioNTech,19666808
Poland,2021-07-02,Johnson&Johnson,992317
Poland,2021-07-02,Moderna,2954896
Poland,2021-07-02,Oxford/AstraZeneca,4881531
Poland,2021-07-02,Pfizer/BioNTech,20621825
Poland,2021-07-09,Johnson&Johnson,1076217
Poland,2021-07-09,Moderna,2980018
Poland,2021-07-09,Oxford/AstraZeneca,5028025
Poland,2021-07-09,Pfizer/BioNTech,21704660
Poland,2021-07-16,Johnson&Johnson,1171664
Poland,2021-07-16,Moderna,2995327
Poland,2021-07-16,Oxford/AstraZeneca,5090199
Poland,2021-07-16,Pfizer/BioNTech,22651376
Poland,2021-07-23,Johnson&Johnson,1271572
Poland,2021-07-23,Moderna,3003775
Poland,2021-07-23,Oxford/AstraZeneca,5189536
Poland,2021-07-23,Pfizer/BioNTech,23247212
Poland,2021-07-30,Johnson&Johnson,1381241
Poland,2021-07-30,Moderna,3008705
Poland,2021-07-30,Oxford/AstraZeneca,5253123
Poland,2021-07-30,Pfizer/BioNTech,23674107
Poland,2021-08-06,Johnson&Johnson,1480712
Poland,2021-08-06,Moderna,3012932
Poland,2021-08-06,Oxford/AstraZeneca,5262544
Poland,2021-08-06,Pfizer/BioNTech,24021002
Poland,2021-08-13,Johnson&Johnson,1579246
Poland,2021-08-13,Moderna,3016316
Poland,2021-08-13,Oxford/AstraZeneca,5267119
Poland,2021-08-13,Pfizer/BioNTech,24279772
Poland,2021-08-17,Johnson&Johnson,1622194
Poland,2021-08-17,Moderna,3018519
Poland,2021-08-17,Oxford/AstraZeneca,5269100
Poland,2021-08-17,Pfizer/BioNTech,24432447
