location,date,vaccine,total_vaccinations
Portugal,2021-01-01,Moderna,3
Portugal,2021-01-01,Pfizer/BioNTech,5013
Portugal,2021-01-08,Johnson&Johnson,9
Portugal,2021-01-08,Moderna,19
Portugal,2021-01-08,Oxford/AstraZeneca,10
Portugal,2021-01-08,Pfizer/BioNTech,84103
Portugal,2021-01-15,Moderna,1512
Portugal,2021-01-15,Oxford/AstraZeneca,44
Portugal,2021-01-15,Pfizer/BioNTech,133414
Portugal,2021-01-22,Johnson&Johnson,10
Portugal,2021-01-22,Moderna,3076
Portugal,2021-01-22,Oxford/AstraZeneca,98
Portugal,2021-01-22,Pfizer/BioNTech,286259
Portugal,2021-01-29,Johnson&Johnson,11
Portugal,2021-01-29,Moderna,3631
Portugal,2021-01-29,Oxford/AstraZeneca,182
Portugal,2021-01-29,Pfizer/BioNTech,372939
Portugal,2021-02-05,Johnson&Johnson,18
Portugal,2021-02-05,Moderna,10706
Portugal,2021-02-05,Oxford/AstraZeneca,301
Portugal,2021-02-05,Pfizer/BioNTech,427009
Portugal,2021-02-12,Moderna,13673
Portugal,2021-02-12,Oxford/AstraZeneca,9820
Portugal,2021-02-12,Pfizer/BioNTech,554394
Portugal,2021-02-19,Moderna,25247
Portugal,2021-02-19,Oxford/AstraZeneca,51744
Portugal,2021-02-19,Pfizer/BioNTech,654369
Portugal,2021-02-26,Moderna,29251
Portugal,2021-02-26,Oxford/AstraZeneca,113060
Portugal,2021-02-26,Pfizer/BioNTech,786477
Portugal,2021-03-05,Johnson&Johnson,39
Portugal,2021-03-05,Moderna,57237
Portugal,2021-03-05,Oxford/AstraZeneca,152670
Portugal,2021-03-05,Pfizer/BioNTech,891335
Portugal,2021-03-12,Johnson&Johnson,74
Portugal,2021-03-12,Moderna,61701
Portugal,2021-03-12,Oxford/AstraZeneca,205138
Portugal,2021-03-12,Pfizer/BioNTech,981928
Portugal,2021-03-19,Johnson&Johnson,97
Portugal,2021-03-19,Moderna,88141
Portugal,2021-03-19,Oxford/AstraZeneca,228860
Portugal,2021-03-19,Pfizer/BioNTech,1123517
Portugal,2021-03-26,Johnson&Johnson,118
Portugal,2021-03-26,Moderna,100041
Portugal,2021-03-26,Oxford/AstraZeneca,344611
Portugal,2021-03-26,Pfizer/BioNTech,1274457
Portugal,2021-04-02,Johnson&Johnson,163
Portugal,2021-04-02,Moderna,131344
Portugal,2021-04-02,Oxford/AstraZeneca,397272
Portugal,2021-04-02,Pfizer/BioNTech,1412648
Portugal,2021-04-09,Johnson&Johnson,276
Portugal,2021-04-09,Moderna,169429
Portugal,2021-04-09,Oxford/AstraZeneca,450065
Portugal,2021-04-09,Pfizer/BioNTech,1631573
Portugal,2021-04-16,Johnson&Johnson,301
Portugal,2021-04-16,Moderna,200263
Portugal,2021-04-16,Oxford/AstraZeneca,616773
Portugal,2021-04-16,Pfizer/BioNTech,1913871
Portugal,2021-04-23,Johnson&Johnson,308
Portugal,2021-04-23,Moderna,217672
Portugal,2021-04-23,Oxford/AstraZeneca,695648
Portugal,2021-04-23,Pfizer/BioNTech,2167492
Portugal,2021-04-30,Johnson&Johnson,1656
Portugal,2021-04-30,Moderna,246584
Portugal,2021-04-30,Oxford/AstraZeneca,802992
Portugal,2021-04-30,Pfizer/BioNTech,2465616
Portugal,2021-05-07,Johnson&Johnson,14087
Portugal,2021-05-07,Moderna,303053
Portugal,2021-05-07,Oxford/AstraZeneca,948769
Portugal,2021-05-07,Pfizer/BioNTech,2841052
Portugal,2021-05-14,Johnson&Johnson,31930
Portugal,2021-05-14,Moderna,376946
Portugal,2021-05-14,Oxford/AstraZeneca,1073332
Portugal,2021-05-14,Pfizer/BioNTech,3219001
Portugal,2021-05-21,Johnson&Johnson,55885
Portugal,2021-05-21,Moderna,437506
Portugal,2021-05-21,Oxford/AstraZeneca,1192726
Portugal,2021-05-21,Pfizer/BioNTech,3540032
Portugal,2021-05-28,Johnson&Johnson,105330
Portugal,2021-05-28,Moderna,513927
Portugal,2021-05-28,Oxford/AstraZeneca,1244365
Portugal,2021-05-28,Pfizer/BioNTech,3922674
Portugal,2021-06-04,Johnson&Johnson,161846
Portugal,2021-06-04,Moderna,584742
Portugal,2021-06-04,Oxford/AstraZeneca,1290200
Portugal,2021-06-04,Pfizer/BioNTech,4317175
Portugal,2021-06-11,Johnson&Johnson,189947
Portugal,2021-06-11,Moderna,685803
Portugal,2021-06-11,Oxford/AstraZeneca,1314896
Portugal,2021-06-11,Pfizer/BioNTech,4772318
Portugal,2021-06-18,Johnson&Johnson,225532
Portugal,2021-06-18,Moderna,760314
Portugal,2021-06-18,Oxford/AstraZeneca,1397827
Portugal,2021-06-18,Pfizer/BioNTech,5309059
Portugal,2021-06-25,Johnson&Johnson,270039
Portugal,2021-06-25,Moderna,835666
Portugal,2021-06-25,Oxford/AstraZeneca,1490863
Portugal,2021-06-25,Pfizer/BioNTech,5815810
Portugal,2021-07-02,Johnson&Johnson,296012
Portugal,2021-07-02,Moderna,904772
Portugal,2021-07-02,Oxford/AstraZeneca,1675024
Portugal,2021-07-02,Pfizer/BioNTech,6355260
Portugal,2021-07-09,Johnson&Johnson,333925
Portugal,2021-07-09,Moderna,993899
Portugal,2021-07-09,Oxford/AstraZeneca,1924457
Portugal,2021-07-09,Pfizer/BioNTech,7028341
Portugal,2021-07-16,Johnson&Johnson,449034
Portugal,2021-07-16,Moderna,1145292
Portugal,2021-07-16,Oxford/AstraZeneca,2010249
Portugal,2021-07-16,Pfizer/BioNTech,7438913
Portugal,2021-07-23,Johnson&Johnson,581577
Portugal,2021-07-23,Moderna,1237618
Portugal,2021-07-23,Oxford/AstraZeneca,2071227
Portugal,2021-07-23,Pfizer/BioNTech,7818300
Portugal,2021-07-30,Johnson&Johnson,683361
Portugal,2021-07-30,Moderna,1311156
Portugal,2021-07-30,Oxford/AstraZeneca,2127844
Portugal,2021-07-30,Pfizer/BioNTech,8186560
Portugal,2021-08-06,Johnson&Johnson,799809
Portugal,2021-08-06,Moderna,1384928
Portugal,2021-08-06,Oxford/AstraZeneca,2150392
Portugal,2021-08-06,Pfizer/BioNTech,8603543
Portugal,2021-08-13,Johnson&Johnson,941507
Portugal,2021-08-13,Moderna,1491934
Portugal,2021-08-13,Oxford/AstraZeneca,2162338
Portugal,2021-08-13,Pfizer/BioNTech,8863586
Portugal,2021-08-20,Johnson&Johnson,1011475
Portugal,2021-08-20,Moderna,1534346
Portugal,2021-08-20,Oxford/AstraZeneca,2166328
Portugal,2021-08-20,Pfizer/BioNTech,8991026
