location,date,vaccine,total_vaccinations
Slovakia,2021-01-01,Pfizer/BioNTech,0
Slovakia,2021-01-08,Pfizer/BioNTech,29670
Slovakia,2021-01-15,Moderna,0
Slovakia,2021-01-15,Pfizer/BioNTech,62720
Slovakia,2021-01-22,Pfizer/BioNTech,100156
Slovakia,2021-01-29,Moderna,69
Slovakia,2021-01-29,Pfizer/BioNTech,146685
Slovakia,2021-02-05,Moderna,1654
Slovakia,2021-02-05,Oxford/AstraZeneca,0
Slovakia,2021-02-05,Pfizer/BioNTech,212795
Slovakia,2021-02-12,Moderna,6468
Slovakia,2021-02-12,Oxford/AstraZeneca,12782
Slovakia,2021-02-12,Pfizer/BioNTech,276585
Slovakia,2021-02-19,Moderna,18253
Slovakia,2021-02-19,Oxford/AstraZeneca,27080
Slovakia,2021-02-19,Pfizer/BioNTech,322408
Slovakia,2021-02-26,Moderna,22519
Slovakia,2021-02-26,Oxford/AstraZeneca,47893
Slovakia,2021-02-26,Pfizer/BioNTech,373736
Slovakia,2021-03-05,Moderna,24615
Slovakia,2021-03-05,Oxford/AstraZeneca,89650
Slovakia,2021-03-05,Pfizer/BioNTech,426753
Slovakia,2021-03-05,Sputnik V,0
Slovakia,2021-03-12,Moderna,29537
Slovakia,2021-03-12,Oxford/AstraZeneca,132517
Slovakia,2021-03-12,Pfizer/BioNTech,483881
Slovakia,2021-03-19,Moderna,41497
Slovakia,2021-03-19,Oxford/AstraZeneca,178998
Slovakia,2021-03-19,Pfizer/BioNTech,557214
Slovakia,2021-03-26,Moderna,55910
Slovakia,2021-03-26,Oxford/AstraZeneca,216252
Slovakia,2021-03-26,Pfizer/BioNTech,636082
Slovakia,2021-04-02,Moderna,66959
Slovakia,2021-04-02,Oxford/AstraZeneca,244373
Slovakia,2021-04-02,Pfizer/BioNTech,701998
Slovakia,2021-04-09,Moderna,79162
Slovakia,2021-04-09,Oxford/AstraZeneca,294112
Slovakia,2021-04-09,Pfizer/BioNTech,774540
Slovakia,2021-04-16,Johnson&Johnson,0
Slovakia,2021-04-16,Moderna,97980
Slovakia,2021-04-16,Oxford/AstraZeneca,345372
Slovakia,2021-04-16,Pfizer/BioNTech,858102
Slovakia,2021-04-23,Moderna,119638
Slovakia,2021-04-23,Oxford/AstraZeneca,389227
Slovakia,2021-04-23,Pfizer/BioNTech,942866
Slovakia,2021-04-30,Johnson&Johnson,0
Slovakia,2021-04-30,Moderna,141479
Slovakia,2021-04-30,Oxford/AstraZeneca,423303
Slovakia,2021-04-30,Pfizer/BioNTech,1053662
Slovakia,2021-05-07,Moderna,169079
Slovakia,2021-05-07,Oxford/AstraZeneca,456994
Slovakia,2021-05-07,Pfizer/BioNTech,1189937
Slovakia,2021-05-14,Johnson&Johnson,0
Slovakia,2021-05-14,Moderna,198940
Slovakia,2021-05-14,Oxford/AstraZeneca,496613
Slovakia,2021-05-14,Pfizer/BioNTech,1353739
Slovakia,2021-05-21,Johnson&Johnson,0
Slovakia,2021-05-21,Moderna,231257
Slovakia,2021-05-21,Oxford/AstraZeneca,543012
Slovakia,2021-05-21,Pfizer/BioNTech,1519863
Slovakia,2021-05-28,Johnson&Johnson,0
Slovakia,2021-05-28,Moderna,259015
Slovakia,2021-05-28,Oxford/AstraZeneca,583336
Slovakia,2021-05-28,Pfizer/BioNTech,1695428
Slovakia,2021-05-28,Sputnik V,2
Slovakia,2021-06-04,Johnson&Johnson,0
Slovakia,2021-06-04,Moderna,286543
Slovakia,2021-06-04,Oxford/AstraZeneca,623954
Slovakia,2021-06-04,Pfizer/BioNTech,1862857
Slovakia,2021-06-04,Sputnik V,3
Slovakia,2021-06-11,Johnson&Johnson,0
Slovakia,2021-06-11,Moderna,312558
Slovakia,2021-06-11,Oxford/AstraZeneca,655180
Slovakia,2021-06-11,Pfizer/BioNTech,2038622
Slovakia,2021-06-11,Sputnik V,4117
Slovakia,2021-06-18,Johnson&Johnson,118
Slovakia,2021-06-18,Moderna,338810
Slovakia,2021-06-18,Oxford/AstraZeneca,701095
Slovakia,2021-06-18,Pfizer/BioNTech,2205843
Slovakia,2021-06-18,Sputnik V,7847
Slovakia,2021-06-25,Johnson&Johnson,230
Slovakia,2021-06-25,Moderna,362085
Slovakia,2021-06-25,Oxford/AstraZeneca,749100
Slovakia,2021-06-25,Pfizer/BioNTech,2364193
Slovakia,2021-06-25,Sputnik V,11480
Slovakia,2021-07-02,Johnson&Johnson,5319
Slovakia,2021-07-02,Moderna,383332
Slovakia,2021-07-02,Oxford/AstraZeneca,782748
Slovakia,2021-07-02,Pfizer/BioNTech,2505826
Slovakia,2021-07-02,Sputnik V,17486
Slovakia,2021-07-09,Johnson&Johnson,13837
Slovakia,2021-07-09,Moderna,400030
Slovakia,2021-07-09,Oxford/AstraZeneca,811768
Slovakia,2021-07-09,Pfizer/BioNTech,2610281
Slovakia,2021-07-09,Sputnik V,23702
Slovakia,2021-07-16,Johnson&Johnson,23841
Slovakia,2021-07-16,Moderna,416703
Slovakia,2021-07-16,Oxford/AstraZeneca,827822
Slovakia,2021-07-16,Pfizer/BioNTech,2696408
Slovakia,2021-07-16,Sputnik V,28036
Slovakia,2021-07-23,Johnson&Johnson,30474
Slovakia,2021-07-23,Moderna,429234
Slovakia,2021-07-23,Oxford/AstraZeneca,834346
Slovakia,2021-07-23,Pfizer/BioNTech,2754547
Slovakia,2021-07-23,Sputnik V,30957
Slovakia,2021-07-30,Johnson&Johnson,36121
Slovakia,2021-07-30,Moderna,441651
Slovakia,2021-07-30,Oxford/AstraZeneca,835839
Slovakia,2021-07-30,Pfizer/BioNTech,2813379
Slovakia,2021-07-30,Sputnik V,34952
Slovakia,2021-08-06,Johnson&Johnson,43741
Slovakia,2021-08-06,Moderna,450603
Slovakia,2021-08-06,Oxford/AstraZeneca,836367
Slovakia,2021-08-06,Pfizer/BioNTech,2872694
Slovakia,2021-08-06,Sputnik V,35919
Slovakia,2021-08-13,Johnson&Johnson,51661
Slovakia,2021-08-13,Moderna,457130
Slovakia,2021-08-13,Oxford/AstraZeneca,836803
Slovakia,2021-08-13,Pfizer/BioNTech,2921417
Slovakia,2021-08-13,Sputnik V,37017
Slovakia,2021-08-20,Johnson&Johnson,53353
Slovakia,2021-08-20,Moderna,461650
Slovakia,2021-08-20,Oxford/AstraZeneca,836926
Slovakia,2021-08-20,Pfizer/BioNTech,2944736
Slovakia,2021-08-20,Sputnik V,37947
