location,date,vaccine,total_vaccinations
Sweden,2021-01-01,Pfizer/BioNTech,2446
Sweden,2021-01-08,Pfizer/BioNTech,51921
Sweden,2021-01-15,Moderna,93
Sweden,2021-01-15,Pfizer/BioNTech,130135
Sweden,2021-01-22,Moderna,5347
Sweden,2021-01-22,Pfizer/BioNTech,240740
Sweden,2021-01-29,Moderna,8101
Sweden,2021-01-29,Pfizer/BioNTech,329136
Sweden,2021-02-05,Moderna,12401
Sweden,2021-02-05,Oxford/AstraZeneca,0
Sweden,2021-02-05,Pfizer/BioNTech,424661
Sweden,2021-02-12,Moderna,23124
Sweden,2021-02-12,Oxford/AstraZeneca,9772
Sweden,2021-02-12,Pfizer/BioNTech,521859
Sweden,2021-02-19,Moderna,38882
Sweden,2021-02-19,Oxford/AstraZeneca,37703
Sweden,2021-02-19,Pfizer/BioNTech,632182
Sweden,2021-02-26,Moderna,48359
Sweden,2021-02-26,Oxford/AstraZeneca,77376
Sweden,2021-02-26,Pfizer/BioNTech,739077
Sweden,2021-03-05,Moderna,61466
Sweden,2021-03-05,Oxford/AstraZeneca,146892
Sweden,2021-03-05,Pfizer/BioNTech,845478
Sweden,2021-03-12,Moderna,84634
Sweden,2021-03-12,Oxford/AstraZeneca,219536
Sweden,2021-03-12,Pfizer/BioNTech,970669
Sweden,2021-03-19,Moderna,112536
Sweden,2021-03-19,Oxford/AstraZeneca,230355
Sweden,2021-03-19,Pfizer/BioNTech,1105107
Sweden,2021-03-26,Moderna,148219
Sweden,2021-03-26,Oxford/AstraZeneca,237052
Sweden,2021-03-26,Pfizer/BioNTech,1260489
Sweden,2021-04-02,Moderna,167527
Sweden,2021-04-02,Oxford/AstraZeneca,310181
Sweden,2021-04-02,Pfizer/BioNTech,1432714
Sweden,2021-04-09,Moderna,206053
Sweden,2021-04-09,Oxford/AstraZeneca,419181
Sweden,2021-04-09,Pfizer/BioNTech,1630232
Sweden,2021-04-16,Moderna,234719
Sweden,2021-04-16,Oxford/AstraZeneca,581321
Sweden,2021-04-16,Pfizer/BioNTech,1913580
Sweden,2021-04-23,Moderna,273831
Sweden,2021-04-23,Oxford/AstraZeneca,676612
Sweden,2021-04-23,Pfizer/BioNTech,2219656
Sweden,2021-04-30,Moderna,304517
Sweden,2021-04-30,Oxford/AstraZeneca,712319
Sweden,2021-04-30,Pfizer/BioNTech,2551674
Sweden,2021-05-07,Moderna,353399
Sweden,2021-05-07,Oxford/AstraZeneca,730744
Sweden,2021-05-07,Pfizer/BioNTech,2941654
Sweden,2021-05-14,Moderna,391069
Sweden,2021-05-14,Oxford/AstraZeneca,760392
Sweden,2021-05-14,Pfizer/BioNTech,3299395
Sweden,2021-05-21,Moderna,455146
Sweden,2021-05-21,Oxford/AstraZeneca,802555
Sweden,2021-05-21,Pfizer/BioNTech,3645793
Sweden,2021-05-28,Moderna,512981
Sweden,2021-05-28,Oxford/AstraZeneca,825657
Sweden,2021-05-28,Pfizer/BioNTech,4048129
Sweden,2021-06-04,Moderna,580571
Sweden,2021-06-04,Oxford/AstraZeneca,875302
Sweden,2021-06-04,Pfizer/BioNTech,4514230
Sweden,2021-06-11,Moderna,646797
Sweden,2021-06-11,Oxford/AstraZeneca,942828
Sweden,2021-06-11,Pfizer/BioNTech,5058080
Sweden,2021-06-18,Moderna,710046
Sweden,2021-06-18,Oxford/AstraZeneca,1074703
Sweden,2021-06-18,Pfizer/BioNTech,5630048
Sweden,2021-06-25,Moderna,765364
Sweden,2021-06-25,Oxford/AstraZeneca,1181269
Sweden,2021-06-25,Pfizer/BioNTech,6102418
Sweden,2021-07-02,Moderna,837372
Sweden,2021-07-02,Oxford/AstraZeneca,1259412
Sweden,2021-07-02,Pfizer/BioNTech,6681843
Sweden,2021-07-09,Moderna,913126
Sweden,2021-07-09,Oxford/AstraZeneca,1300131
Sweden,2021-07-09,Pfizer/BioNTech,7155533
Sweden,2021-07-16,Moderna,1008146
Sweden,2021-07-16,Oxford/AstraZeneca,1316364
Sweden,2021-07-16,Pfizer/BioNTech,7543491
Sweden,2021-07-23,Moderna,1088498
Sweden,2021-07-23,Oxford/AstraZeneca,1324259
Sweden,2021-07-23,Pfizer/BioNTech,7888381
Sweden,2021-07-30,Moderna,1158858
Sweden,2021-07-30,Oxford/AstraZeneca,1326968
Sweden,2021-07-30,Pfizer/BioNTech,8203626
Sweden,2021-08-06,Moderna,1226224
Sweden,2021-08-06,Oxford/AstraZeneca,1328057
Sweden,2021-08-06,Pfizer/BioNTech,8513550
Sweden,2021-08-13,Moderna,1297614
Sweden,2021-08-13,Oxford/AstraZeneca,1328982
Sweden,2021-08-13,Pfizer/BioNTech,8847385
Sweden,2021-08-20,Moderna,1326988
Sweden,2021-08-20,Oxford/AstraZeneca,1329521
Sweden,2021-08-20,Pfizer/BioNTech,8994610
