date,vaccine,total_vaccinations,location
2020-12-22,Moderna,0,Switzerland
2020-12-23,Moderna,1,Switzerland
2020-12-24,Moderna,1,Switzerland
2020-12-25,Moderna,1,Switzerland
2020-12-26,Moderna,1,Switzerland
2020-12-27,Moderna,1,Switzerland
2020-12-28,Moderna,1,Switzerland
2020-12-29,Moderna,1,Switzerland
2020-12-30,Moderna,1,Switzerland
2020-12-31,Moderna,2,Switzerland
2021-01-01,Moderna,4,Switzerland
2021-01-02,Moderna,4,Switzerland
2021-01-03,Moderna,5,Switzerland
2021-01-04,Moderna,5,Switzerland
2021-01-05,Moderna,5,Switzerland
2021-01-06,Moderna,7,Switzerland
2021-01-07,Moderna,7,Switzerland
2021-01-08,Moderna,7,Switzerland
2021-01-09,Moderna,11,Switzerland
2021-01-10,Moderna,11,Switzerland
2021-01-11,Moderna,31,Switzerland
2021-01-12,Moderna,120,Switzerland
2021-01-13,Moderna,329,Switzerland
2021-01-14,Moderna,685,Switzerland
2021-01-15,Moderna,1480,Switzerland
2021-01-16,Moderna,3805,Switzerland
2021-01-17,Moderna,3889,Switzerland
2021-01-18,Moderna,5537,Switzerland
2021-01-19,Moderna,10264,Switzerland
2021-01-20,Moderna,16962,Switzerland
2021-01-21,Moderna,25606,Switzerland
2021-01-22,Moderna,33684,Switzerland
2021-01-23,Moderna,37730,Switzerland
2021-01-24,Moderna,38346,Switzerland
2021-01-25,Moderna,48277,Switzerland
2021-01-26,Moderna,64714,Switzerland
2021-01-27,Moderna,81792,Switzerland
2021-01-28,Moderna,99633,Switzerland
2021-01-29,Moderna,111235,Switzerland
2021-01-30,Moderna,111235,Switzerland
2021-01-31,Moderna,111235,Switzerland
2021-02-01,Moderna,120778,Switzerland
2021-02-02,Moderna,132129,Switzerland
2021-02-03,Moderna,143476,Switzerland
2021-02-04,Moderna,153856,Switzerland
2021-02-05,Moderna,163173,Switzerland
2021-02-06,Moderna,164355,Switzerland
2021-02-07,Moderna,164931,Switzerland
2021-02-08,Moderna,172953,Switzerland
2021-02-09,Moderna,183432,Switzerland
2021-02-10,Moderna,195185,Switzerland
2021-02-11,Moderna,207001,Switzerland
2021-02-12,Moderna,220495,Switzerland
2021-02-13,Moderna,225656,Switzerland
2021-02-14,Moderna,226386,Switzerland
2021-02-15,Moderna,236000,Switzerland
2021-02-16,Moderna,249235,Switzerland
2021-02-17,Moderna,262114,Switzerland
2021-02-18,Moderna,277135,Switzerland
2021-02-19,Moderna,289358,Switzerland
2021-02-20,Moderna,294038,Switzerland
2021-02-21,Moderna,294811,Switzerland
2021-02-22,Moderna,305998,Switzerland
2021-02-23,Moderna,322136,Switzerland
2021-02-24,Moderna,339143,Switzerland
2021-02-25,Moderna,356901,Switzerland
2021-02-26,Moderna,372508,Switzerland
2021-02-27,Moderna,376602,Switzerland
2021-02-28,Moderna,377663,Switzerland
2021-03-01,Moderna,390916,Switzerland
2021-03-02,Moderna,406029,Switzerland
2021-03-03,Moderna,423862,Switzerland
2021-03-04,Moderna,442956,Switzerland
2021-03-05,Moderna,458931,Switzerland
2021-03-06,Moderna,462568,Switzerland
2021-03-07,Moderna,463390,Switzerland
2021-03-08,Moderna,475099,Switzerland
2021-03-09,Moderna,491036,Switzerland
2021-03-10,Moderna,506492,Switzerland
2021-03-11,Moderna,523042,Switzerland
2021-03-12,Moderna,536889,Switzerland
